date,temp high,temp low,DP avg,humidity avg,SLP avg,Rainfall
2012-01-01,28,19,14,57,1012,0.0
2012-01-02,26,18,15,65,1013,0.0
2012-01-03,27,17,17,71,1012,0.0
2012-01-04,26,20,17,66,1013,0.0
2012-01-05,26,19,17,71,1014,0.0
2012-01-06,27,18,17,75,1015,0.0
2012-01-07,26,18,17,73,1016,0.0
2012-01-08,26,18,18,79,1016,0.0
2012-01-09,26,18,18,75,1014,0.0
2012-01-10,26,18,16,68,1014,0.0
2012-01-11,25,18,17,74,1014,0.0
2012-01-12,23,18,16,72,1013,0.0
2012-01-13,21,16,11,63,1014,0.0
2012-01-14,21,16,10,58,1012,0.0
2012-01-15,23,15,12,63,1011,0.0
2012-01-16,24,13,10,57,1009,0.0
2012-01-17,25,13,12,66,1009,0.0
2012-01-18,26,14,16,74,1010,0.0
2012-01-19,25,15,16,75,1010,0.0
2012-01-20,23,18,18,87,1011,0.0
2012-01-21,25,18,18,82,1011,0.0
2012-01-22,23,17,11,53,1013,0.0
2012-01-23,24,14,12,60,1013,0.0
2012-01-24,24,16,12,61,1012,0.0
2012-01-25,24,13,11,61,1013,0.0
2012-01-26,26,14,12,61,1012,0.0
2012-01-27,14,13,12,91,1013,0.0
2012-01-28,27,15,8,45,1012,0.0
2012-01-30,27,22,11,43,1012,0.0
2012-01-31,25,17,11,53,1014,0.0
2012-02-01,27,15,9,46,1014,0.0
2012-02-02,26,16,7,42,1015,0.0
2012-02-03,25,18,11,51,1012,0.0
2012-02-04,27,15,12,56,1012,0.0
2012-02-05,28,15,13,60,1012,0.0
2012-02-06,29,15,11,51,1012,0.0
2012-02-07,29,16,14,57,1011,0.0
2012-02-08,30,19,15,56,1010,0.0
2012-02-09,29,18,16,65,1010,0.0
2012-02-10,26,19,15,62,1011,0.0
2012-02-11,26,19,9,44,1012,0.0
2012-02-12,27,14,8,40,1013,0.0
2012-02-13,28,18,8,37,1013,0.0
2012-02-14,30,17,9,43,1012,0.0
2012-02-15,31,18,14,55,1010,0.0
2012-02-16,32,20,17,57,1010,0.0
2012-02-17,32,20,16,53,1010,0.0
2012-02-18,30,18,15,53,1011,0.0
2012-02-19,30,20,12,45,1010,0.0
2012-02-20,29,17,12,49,1010,0.0
2012-02-21,29,17,14,56,1009,0.0
2012-02-22,28,17,19,75,1008,0.0
2012-02-23,28,19,20,77,1008,0.0
2012-02-24,31,18,19,72,1008,0.0
2012-02-25,32,19,17,64,1007,0.0
2012-02-26,31,21,18,65,1006,0.0
2012-02-27,30,20,20,72,1007,0.0
2012-02-28,30,20,16,61,1005,0.0
2012-02-29,27,20,21,81,1006,0.0
2012-03-01,28,23,23,82,1007,17.0
2012-03-02,28,23,22,84,1006,0.0
2012-03-03,25,22,21,87,1005,12.0
2012-03-04,27,21,21,82,1008,1.0
2012-03-05,28,21,22,81,1007,0.0
2012-03-06,28,23,22,82,1006,0.0
2012-03-07,28,24,23,83,1004,0.0
2012-03-08,29,23,23,79,1005,0.0
2012-03-09,29,24,22,77,1006,0.0
2012-03-10,30,24,22,76,1008,0.0
2012-03-11,34,22,17,53,1009,0.0
2012-03-12,34,22,13,41,1011,0.0
2012-03-13,33,21,15,50,1011,0.0
2012-03-14,32,23,18,58,1010,0.0
2012-03-15,31,22,19,61,1014,0.0
2012-03-16,30,20,17,59,1010,0.0
2012-03-17,31,23,17,56,1009,0.0
2012-03-18,30,21,19,67,1010,0.0
2012-03-19,30,24,22,73,1009,0.0
2012-03-20,30,23,23,78,1009,0.0
2012-03-21,31,23,23,79,1008,0.0
2012-03-22,31,25,24,78,1008,0.0
2012-03-23,29,24,23,79,1010,0.0
2012-03-24,31,24,23,76,1009,0.0
2012-03-25,30,23,23,81,1010,0.0
2012-03-26,29,23,23,83,1011,0.0
2012-03-27,30,23,24,81,1011,0.0
2012-03-28,30,23,23,78,1012,0.0
2012-03-29,29,25,24,80,1010,0.0
2012-03-30,30,24,23,78,1009,0.0
2012-03-31,31,24,23,73,1010,0.0
2012-04-01,35,25,21,58,1009,0.0
2012-04-02,32,25,22,71,1010,0.0
2012-04-03,31,26,24,77,1011,0.0
2012-04-04,31,26,25,78,1010,0.0
2012-04-05,31,26,24,79,1009,0.0
2012-04-06,29,22,22,77,1009,0.0
2012-04-07,30,20,21,81,1009,0.0
2012-04-08,30,20,22,79,1008,8.0
2012-04-09,28,21,18,73,1009,5.08
2012-04-10,32,20,21,79,1009,23.88
2012-04-11,31,21,20,66,1009,26.0
2012-04-12,30,22,22,79,1007,0.0
2012-04-13,27,20,21,78,1008,11.94
2012-04-14,33,21,22,69,1009,12.0
2012-04-15,31,24,24,79,1008,0.0
2012-04-16,32,25,24,83,1006,0.0
2012-04-17,32,25,25,79,1005,0.0
2012-04-18,31,26,24,77,1005,0.0
2012-04-19,31,26,26,80,1006,0.0
2012-04-20,31,26,24,80,1007,0.0
2012-04-21,30,22,24,82,1006,6.1
2012-04-22,32,27,25,79,1004,0.0
2012-04-23,32,26,25,78,1005,1.02
2012-04-24,32,27,26,76,1006,0.0
2012-04-25,32,27,26,80,1007,0.0
2012-04-26,32,23,24,75,1007,0.0
2012-04-27,32,27,26,80,1005,0.0
2012-04-28,31,26,25,83,1004,0.0
2012-04-29,31,23,22,81,1005,17.02
